file_name,full_path,extension,parent_folder,size_bytes,size_mb,mime_type,file_hash,is_duplicate,duplicate_of
docker-compose.yml,D:\NeXuS\NXCore-Control\all.in.one.installer\server\nxcore_bootstrap\filebrowser\docker-compose.yml,.yml,filebrowser,12,0,unknown,d4fd3af6d6ccdaeefeec3b0c2fe3ae2d5dde874cc4ed1b7acbb2cec4dfdfe032,FALSE,
.env.example,D:\NeXuS\NXCore-Control\all.in.one.installer\server\nxcore_bootstrap\n8n-stack\.env.example,.example,n8n-stack,31,0,unknown,0c1e48e09901c6e7526fc0612d67b384628ae759569ff6b5f904f19ce509f70e,FALSE,
tailscale-certs.yml,D:\NeXuS\NXCore-Control\all.in.one.installer\server\nxcore_bootstrap\n8n-stack\traefik\dynamic\tailscale-certs.yml,.yml,dynamic,7,0,unknown,e8eb2c7ff4518980faccd2d1a8f8f492d48bd3c7769b10617eb9641dbe04177c,FALSE,
README.md,D:\NeXuS\NXCore-Control\all.in.one.installer\server\nxcore_bootstrap\README.md,.md,nxcore_bootstrap,46,0,text/markdown,405b1160831d309e9ffb17acc64a7b26f15bb65748cd49e44210df4b0fce31c0,FALSE,
index.html,D:\NeXuS\NXCore-Control\all.in.one.installer\server\nxcore_bootstrap\services-landing\index.html,.html,services-landing,15,0,text/html,6f4fbfc071bb7f78464b43945991697667b887bbdbdda140b1f9b7dde02b546e,FALSE,
devcontainer.json,D:\NeXuS\NXCore-Control\all.in.one.installer\workstation\dev_env_bundle\.devcontainer\devcontainer.json,.json,.devcontainer,1029,0,application/json,d8840f27edb90dc8c9db50fce7b652c355e0a4c15ca47bc1034061a4e90abdc6,FALSE,
.editorconfig,D:\NeXuS\NXCore-Control\all.in.one.installer\workstation\dev_env_bundle\.editorconfig,,dev_env_bundle,139,0,unknown,6f683c71e46bee9ef2fc2bcc48dd6fd2edc29500d7909c6bc6bb73d795bf067f,FALSE,
.envrc.example,D:\NeXuS\NXCore-Control\all.in.one.installer\workstation\dev_env_bundle\.envrc.example,.example,dev_env_bundle,157,0,unknown,bed09befd408525e5d286e43473489ddc102783741887c50eb5f838741600d5a,FALSE,
.prettierrc,D:\NeXuS\NXCore-Control\all.in.one.installer\workstation\dev_env_bundle\.prettierrc,,dev_env_bundle,90,0,unknown,d5f90f76c5b68ce7be5ba077813f97e1983511b8c314764537345a538c1261f4,FALSE,
README.md,D:\NeXuS\NXCore-Control\all.in.one.installer\workstation\dev_env_bundle\README.md,.md,dev_env_bundle,914,0,text/markdown,81346238e1ab72b20f785059a18a4fdab6f3b3db26ada1da07ce1c5623a327e0,FALSE,
bootstrap_dev.sh,D:\NeXuS\NXCore-Control\all.in.one.installer\workstation\dev_env_bundle\scripts\bootstrap_dev.sh,.sh,scripts,2967,0,application/x-sh,559777bdc5360c38dbd1c63b53735d091fcc7a2b09a78e07a7a47b8849df8045,FALSE,
extensions.txt,D:\NeXuS\NXCore-Control\all.in.one.installer\workstation\dev_env_bundle\vscode\extensions.txt,.txt,vscode,229,0,text/plain,def27b93bee019b760e563332995ee337ad633ed907967e0ab368aaf77234075,FALSE,
install_workstation.sh,D:\NeXuS\NXCore-Control\all.in.one.installer\workstation\install_workstation.sh,.sh,workstation,98,0,application/x-sh,3f62cb9525a77d1b13ecc634db3b205603ceb831260101c616a9a1ffc70e019c,FALSE,
$R1L9ENU.ico,D:\NeXuS\NXCore-Control\apps\AeroCaller\$R1L9ENU.ico,.ico,AeroCaller,56878,0.05,image/x-icon,d3c44ef4b959666264ba963e33c5a8e61abfb065c8aa68f8eeaffae38f174215,FALSE,
aerovista-icon.ico,D:\NeXuS\NXCore-Control\apps\AeroCaller\aerovista-icon.ico,.ico,AeroCaller,6676,0.01,image/x-icon,1a893a4eb2a8f2505c8d36fe0dbad0919b318ff0d16897f309cd2d6652822d52,FALSE,
app.staff.js,D:\NeXuS\NXCore-Control\apps\AeroCaller\app.staff.js,.js,AeroCaller,12123,0.01,text/javascript,2abb17707aed51055348fba6a6c7bc7cf8fb29cec037841545e8fc577924d335,FALSE,
apple-touch-icon.png,D:\NeXuS\NXCore-Control\apps\AeroCaller\apple-touch-icon.png,.png,AeroCaller,14929,0.01,image/png,be490dd273ff6ce42e4a366022a67f506a26fbf92ce3f1cc118825b2770daea8,FALSE,
ryde_sync_p_2_p_voice_mvp_single_file (1).html,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_p_2_p_voice_mvp_single_file (1).html,.html,design concept,13721,0.01,text/html,49c66d71ac341d7e0e138f8f48febb42df13771daa906f7e006e147871b28745,FALSE,
ryde_sync_p_2_p_voice_mvp_single_file (2).html,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_p_2_p_voice_mvp_single_file (2).html,.html,design concept,13721,0.01,text/html,49c66d71ac341d7e0e138f8f48febb42df13771daa906f7e006e147871b28745,TRUE,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_p_2_p_voice_mvp_single_file (1).html
ryde_sync_p_2_p_voice_mvp_single_file (3).html,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_p_2_p_voice_mvp_single_file (3).html,.html,design concept,13721,0.01,text/html,49c66d71ac341d7e0e138f8f48febb42df13771daa906f7e006e147871b28745,TRUE,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_p_2_p_voice_mvp_single_file (1).html
ryde_sync_p_2_p_voice_mvp_single_file (4).html,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_p_2_p_voice_mvp_single_file (4).html,.html,design concept,13721,0.01,text/html,49c66d71ac341d7e0e138f8f48febb42df13771daa906f7e006e147871b28745,TRUE,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_p_2_p_voice_mvp_single_file (1).html
ryde_sync_p_2_p_voice_mvp_single_file (5).html,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_p_2_p_voice_mvp_single_file (5).html,.html,design concept,7459,0.01,text/html,f21eadee0b3ea6cee00a17bf4361c8d2d4f77f3454acad2e1abd4d38b71ee875,FALSE,
ryde_sync_p_2_p_voice_mvp_single_file (6).html,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_p_2_p_voice_mvp_single_file (6).html,.html,design concept,7649,0.01,text/html,619386b23245bf5594471d9ebf88c9732a3216b25675dde51bf6fdc641835e5c,FALSE,
ryde_sync_p_2_p_voice_mvp_single_file.html,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_p_2_p_voice_mvp_single_file.html,.html,design concept,9340,0.01,text/html,3e8dfff88a99ec4b55dce3896ed8a8d1d0ab30b8f9f3434fafcfec6eeb55d86a,FALSE,
ryde_sync_split_screen_landing_free_player_industrial_core.html,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_split_screen_landing_free_player_industrial_core.html,.html,design concept,11793,0.01,text/html,f5b992468a62def437a89a0f965c0b8fc78701872bae0eb03b8cf9f9d4603808,FALSE,
ryde_sync_split_screen_landing_teaser_bolt_border (1).html,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_split_screen_landing_teaser_bolt_border (1).html,.html,design concept,13377,0.01,text/html,9dadbbc868d77c0d43b9d6cf70a1053407763ee5b749e4a093db0c1e7de7dd47,FALSE,
ryde_sync_split_screen_landing_teaser_bolt_border (2).html,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_split_screen_landing_teaser_bolt_border (2).html,.html,design concept,13377,0.01,text/html,9dadbbc868d77c0d43b9d6cf70a1053407763ee5b749e4a093db0c1e7de7dd47,TRUE,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_split_screen_landing_teaser_bolt_border (1).html
ryde_sync_split_screen_landing_teaser_bolt_border (3).html,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_split_screen_landing_teaser_bolt_border (3).html,.html,design concept,13377,0.01,text/html,9dadbbc868d77c0d43b9d6cf70a1053407763ee5b749e4a093db0c1e7de7dd47,TRUE,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_split_screen_landing_teaser_bolt_border (1).html
ryde_sync_split_screen_landing_teaser_bolt_border (4).html,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_split_screen_landing_teaser_bolt_border (4).html,.html,design concept,13377,0.01,text/html,9dadbbc868d77c0d43b9d6cf70a1053407763ee5b749e4a093db0c1e7de7dd47,TRUE,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_split_screen_landing_teaser_bolt_border (1).html
ryde_sync_split_screen_landing_teaser_bolt_border.html,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_split_screen_landing_teaser_bolt_border.html,.html,design concept,13377,0.01,text/html,9dadbbc868d77c0d43b9d6cf70a1053407763ee5b749e4a093db0c1e7de7dd47,TRUE,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\ryde_sync_split_screen_landing_teaser_bolt_border (1).html
rydesync-development-overview (1).html,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\rydesync-development-overview (1).html,.html,design concept,28794,0.03,text/html,a20a72285e8a6f25e0931d98f7b582c6970582162830e2dc95b920212e4e5460,FALSE,
rydesync-development-overview.html,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\rydesync-development-overview.html,.html,design concept,28794,0.03,text/html,a20a72285e8a6f25e0931d98f7b582c6970582162830e2dc95b920212e4e5460,TRUE,D:\NeXuS\NXCore-Control\apps\AeroCaller\design concept\rydesync-development-overview (1).html
icon-192.png,D:\NeXuS\NXCore-Control\apps\AeroCaller\icon-192.png,.png,AeroCaller,15879,0.02,image/png,5a4e6cba3606c0396affce3184659dbedadbe8a6d96a4c31a2fd60f22fbdeb90,FALSE,
icon-256.png,D:\NeXuS\NXCore-Control\apps\AeroCaller\icon-256.png,.png,AeroCaller,20606,0.02,image/png,90592a58eeef0813961c3ffa0f59ce5901187a7645967a3636ef1dd7ffe83278,FALSE,
icon-512.png,D:\NeXuS\NXCore-Control\apps\AeroCaller\icon-512.png,.png,AeroCaller,48797,0.05,image/png,2d6f3b50f06f1a553591700fdf20417dcfcbca113c641df531aed6228ad5cc2e,FALSE,
index.staff.html,D:\NeXuS\NXCore-Control\apps\AeroCaller\index.staff.html,.html,AeroCaller,11936,0.01,text/html,0f59d66d3dc882607833b376fd1ecb407ff4a6711bc7e4678a56112f2e1d5c5d,FALSE,
manifest.webmanifest,D:\NeXuS\NXCore-Control\apps\AeroCaller\manifest.webmanifest,.webmanifest,AeroCaller,612,0,application/manifest+json,bb455d46be78da1d8c49d76e236db01b9a07ded0bf9a0a94be04bafcaa53949a,FALSE,
nxcore_readme_server_setup_ops.md,D:\NeXuS\NXCore-Control\apps\AeroCaller\nxcore_readme_server_setup_ops.md,.md,AeroCaller,9753,0.01,text/markdown,8912c43de95be57f77f2a14b294b98b48a23098fcc06df28d3f8ded4ad4f6447,FALSE,
package.json,D:\NeXuS\NXCore-Control\apps\AeroCaller\package.json,.json,AeroCaller,345,0,application/json,a3b0bb31b9700c2e73d5c4dcb5a825d683fd8408fcde986791028d5e7bf5db77,FALSE,
README-DropAndGo.md,D:\NeXuS\NXCore-Control\apps\AeroCaller\README-DropAndGo.md,.md,AeroCaller,4822,0,text/markdown,29d07118818451ca96c823d8f5bbed8768f839823229a67b24fbef864d2bf306,FALSE,
server.staff.js,D:\NeXuS\NXCore-Control\apps\AeroCaller\server.staff.js,.js,AeroCaller,2409,0,text/javascript,f38e247a6adff3c24f05b8a4277311a53ab7468c7309d61a339deffacfbc9485,FALSE,
Start-AeroCoreOS-StaffCall.bat,D:\NeXuS\NXCore-Control\apps\AeroCaller\Start-AeroCoreOS-StaffCall.bat,.bat,AeroCaller,3565,0,text/plain,23b9f43ca466cb821b426be2393b87cc67d110c1f456672f8591b65f63efa992,FALSE,
